,filename,width,height,class,xmin,ymin,xmax,ymax
0,DSCF1013.jpg,800,600,green,267,371,374,415
1,DSCF1013.jpg,800,600,yellow,389,355,493,404
2,DSCF1013.jpg,800,600,white,507,343,608,393
3,DSCF1013.jpg,800,600,gray,282,402,391,453
4,DSCF1013.jpg,800,600,blue,412,394,519,444
5,DSCF1013.jpg,800,600,red,533,382,637,432
6,DSCF1015.jpg,800,600,white,141,294,400,490
7,DSCF1015.jpg,800,600,red,450,224,696,385
8,DSCF1016.jpg,800,600,gray,234,404,478,538
9,DSCF1016.jpg,800,600,red,429,280,653,403
10,DSCF1016.jpg,800,600,white,525,157,736,296
11,DSCF1017.jpg,800,600,gray,402,153,575,246
12,DSCF1021.jpg,800,600,blue,437,166,639,286
13,DSCF1023.jpg,800,600,yellow,419,256,591,355
14,DSCF1025.jpg,800,600,red,216,344,491,500
15,DSCF1029.jpg,800,600,red,28,361,307,522
16,DSCF1029.jpg,800,600,yellow,319,236,565,419
17,DSCF1029.jpg,800,600,green,560,181,792,357
18,DSCF1032.jpg,800,600,blue,32,263,248,365
19,DSCF1032.jpg,800,600,red,513,247,714,347
20,DSCF1037.jpg,800,600,green,265,375,587,516
21,DSCF1038.jpg,800,600,yellow,265,387,650,562
22,DSCF1040.jpg,800,600,yellow,101,398,315,518
23,DSCF1040.jpg,800,600,green,317,393,508,499
24,DSCF1040.jpg,800,600,gray,505,390,677,492
25,DSCF1042.jpg,800,600,blue,443,369,665,480
26,DSCF1044.jpg,800,600,red,320,263,527,378
27,DSCF1048.jpg,800,600,gray,97,270,243,339
28,DSCF1048.jpg,800,600,blue,329,259,475,324
29,DSCF1048.jpg,800,600,white,551,241,705,309
30,DSCF1049.jpg,800,600,gray,105,219,278,304
31,DSCF1049.jpg,800,600,blue,377,261,539,348
32,DSCF1049.jpg,800,600,white,605,299,760,375
33,DSCF1050.jpg,800,600,blue,100,168,276,248
34,DSCF1050.jpg,800,600,white,388,177,562,257
35,DSCF1053.jpg,800,600,green,203,337,424,450
36,DSCF1053.jpg,800,600,red,441,331,663,446
37,DSCF1056.jpg,800,600,yellow,103,210,374,349
38,DSCF1056.jpg,800,600,red,373,209,640,354
39,DSCF1059.jpg,800,600,yellow,268,218,510,373
40,DSCF1061.jpg,800,600,red,107,361,405,535
41,DSCF1061.jpg,800,600,yellow,261,264,512,403
42,DSCF1064.jpg,800,600,white,526,79,704,193
43,DSCF1064.jpg,800,600,yellow,128,162,331,289
44,DSCF1065.jpg,800,600,blue,155,226,333,293
45,DSCF1065.jpg,800,600,green,481,199,649,266
46,DSCF1066.jpg,800,600,green,223,246,380,319
47,DSCF1066.jpg,800,600,blue,444,246,596,316
48,DSCF1068.jpg,800,600,blue,164,75,453,185
49,DSCF1068.jpg,800,600,green,539,336,749,452
50,DSCF1070.jpg,800,600,yellow,355,310,580,438
51,DSCF1070.jpg,800,600,red,335,217,528,332
52,DSCF1072.jpg,800,600,white,164,266,365,386
53,DSCF1072.jpg,800,600,yellow,418,321,630,438
54,DSCF1074.jpg,800,600,yellow,247,289,629,500
55,DSCF1077.jpg,800,600,red,68,281,311,417
56,DSCF1077.jpg,800,600,green,373,294,621,431
57,DSCF1081.jpg,800,600,gray,323,281,480,368
58,DSCF1082.jpg,800,600,blue,218,127,428,244
59,DSCF1082.jpg,800,600,gray,464,132,671,251
60,DSCF1086.jpg,800,600,gray,157,214,291,287
61,DSCF1086.jpg,800,600,yellow,323,213,455,287
62,DSCF1086.jpg,800,600,green,477,220,607,295
63,DSCF1086.jpg,800,600,white,631,217,763,296
64,DSCF1088.jpg,800,600,blue,270,96,443,189
65,DSCF1088.jpg,800,600,yellow,291,334,434,415
66,DSCF1090.jpg,800,600,green,421,172,569,253
67,DSCF1092.jpg,800,600,gray,93,284,283,402
68,DSCF1092.jpg,800,600,blue,359,334,554,447
69,DSCF1092.jpg,800,600,white,544,225,709,336
70,DSCF1094.jpg,800,600,gray,302,227,519,355
71,DSCF1097.jpg,800,600,blue,291,141,544,280
72,DSCF1099.jpg,800,600,red,244,122,488,246
73,DSCF1101.jpg,800,600,yellow,223,235,424,346
74,DSCF1103.jpg,800,600,red,323,119,475,198
75,DSCF1103.jpg,800,600,blue,256,412,442,525
76,DSCF1104.jpg,800,600,blue,376,108,526,180
77,DSCF1104.jpg,800,600,green,358,391,528,484
78,DSCF1105.jpg,800,600,yellow,239,223,527,389
79,DSCF1106.jpg,800,600,yellow,264,236,517,373
80,DSCF1109.jpg,800,600,white,231,193,489,336
81,DSCF1110.jpg,800,600,white,150,163,404,306
82,DSCF1110.jpg,800,600,green,421,174,678,315
83,DSCF1111.jpg,800,600,red,414,190,639,316
84,DSCF1111.jpg,800,600,yellow,147,192,376,320
85,DSCF1114.jpg,800,600,red,337,258,555,369
86,DSCF1116.jpg,800,600,blue,338,320,557,435
87,DSCF1120.jpg,800,600,white,271,279,561,434
88,DSCF1122.jpg,800,600,blue,324,208,545,327
89,DSCF1125.jpg,800,600,green,214,204,357,295
90,DSCF1125.jpg,800,600,red,263,306,442,412
91,DSCF1125.jpg,800,600,yellow,528,275,702,376
92,DSCF1129.jpg,800,600,red,309,389,483,499
93,DSCF1130.jpg,800,600,green,332,375,498,478
94,DSCF1132.jpg,800,600,green,603,220,710,275
95,DSCF1132.jpg,800,600,gray,501,280,697,395
96,DSCF1132.jpg,800,600,blue,38,365,346,527
97,DSCF1133.jpg,800,600,green,296,261,546,445
